Customer ID,Age,Gender,Item Purchased,Category,Purchase Amount (USD),Location,Size,Color,Season,Review Rating,Subscription Status,Shipping Type,Discount Applied,Promo Code Used,Previous Purchases,Payment Method,Frequency of Purchases,Purchase Amout (USD)
110,58.0,male,T-shirt,Clothing,85,Alabama,M,Violet,Spring,2.6,Yes,Next Day Air,Yes,Yes,43.0,Bank Transfer,Fortnightly,85
1979,45.0,male,Sunglasses,Accessories,78,Massachusetts,L,Magenta,Spring,3.8,No,Store Pickup,No,No,1.0,Cash,Quarterly,78
1689,28.0,male,Handbag,Accessories,26,new york,S,Peach,Winter,3.0,No,Next Day Air,No,No,13.0,Venmo,Fortnightly,26
433,44.0,male,Shirt,Clothing,86,Indiana,S,Indigo,Fall,3.3,Yes,Free Shipping,Yes,Yes,26.0,Venmo,Weekly,86
1262,20.0,male,Shirt,Clothing,29,Connecticut,L,Maroon,Summer,2.8,No,Next Day Air,Yes,Yes,2.0,PayPal,Fortnightly,29
466,54.0,male,Skirt,Clothing,88,Oklahoma,M,Pink,Summer,2.8,Yes,Next Day Air,Yes,Yes,25.0,Cash,Quarterly,88
2581,43.0,male,Jeans,Clothing,29,Massachusetts,S,Turquoise,Summer,3.6,No,Store Pickup,No,No,13.0,Bank Transfer,Quarterly,29
1058,65.0,male,Jacket,Outerwear,23,Wisconsin,S,Maroon,Spring,4.4,No,2-Day Shipping,Yes,Yes,20.0,Credit Card,Weekly,23
3843,35.0,female,Jacket,Outerwear,84,Colorado,L,Lavender,Winter,4.2,No,Next Day Air,No,No,42.0,Debit Card,Monthly,84
2549,42.0,male,Backpack,Accessories,63,Texas,L,Pink,Winter,3.8,No,Standard,No,No,34.0,Credit Card,Monthly,63
3849,22.0,female,Jewelry,Accessories,60,New Hampshire,M,Magenta,Winter,3.0,No,Next Day Air,No,No,39.0,PayPal,Every 3 Months,60
839,33.0,male,Coat,Outerwear,29,Kentucky,M,Gray,Summer,4.3,Yes,Express,Yes,Yes,49.0,Credit Card,Annually,29
3002,29.0,female,Coat,Outerwear,29,Montana,L,Charcoal,Summer,4.7,No,Express,No,No,28.0,Credit Card,Quarterly,29
326,44.0,male,Pants,Clothing,70,Vermont,M,Charcoal,Winter,4.3,Yes,Free Shipping,Yes,Yes,38.0,Debit Card,Annually,70
2637,41.0,male,Jacket,Outerwear,40,Utah,S,Magenta,Winter,4.2,No,Store Pickup,No,No,6.0,Venmo,Annually,40
1873,43.0,male,T-shirt,Clothing,64,Alaska,M,Lavender,Summer,4.6,No,Standard,No,No,24.0,Credit Card,Monthly,64
810,48.0,male,Boots,Footwear,81,South Carolina,M,Violet,Summer,4.9,Yes,Next Day Air,Yes,Yes,30.0,PayPal,Bi-Weekly,81
71,22.0,male,Belt,Accessories,29,Alabama,M,Magenta,Fall,4.2,Yes,Express,Yes,Yes,32.0,Debit Card,Every 3 Months,29
306,60.0,male,Sweater,Clothing,59,Utah,M,Teal,Fall,3.5,Yes,2-Day Shipping,Yes,Yes,26.0,PayPal,Annually,59
3623,46.0,female,Dress,Clothing,41,Wisconsin,M,Purple,Fall,4.3,No,Store Pickup,No,No,12.0,Credit Card,Annually,41
2746,28.0,female,Boots,Footwear,98,Michigan,M,Magenta,Summer,4.1,No,Standard,No,No,44.0,PayPal,Bi-Weekly,98
3403,22.0,female,Hoodie,Clothing,61,Louisiana,M,Black,Spring,4.4,No,2-Day Shipping,No,No,11.0,PayPal,Every 3 Months,61
1095,25.0,male,Jewelry,Accessories,40,Connecticut,M,Black,Summer,4.8,No,Next Day Air,Yes,Yes,25.0,Cash,Quarterly,40
3236,27.0,female,Belt,Accessories,68,Kansas,M,Green,Summer,4.0,No,Free Shipping,No,No,18.0,Venmo,Monthly,68
913,24.0,male,Hoodie,Clothing,56,Arkansas,M,Green,Winter,3.4,Yes,Next Day Air,Yes,Yes,32.0,Bank Transfer,Monthly,56
953,36.0,male,Hat,Accessories,71,Idaho,S,Red,Fall,3.1,Yes,2-Day Shipping,Yes,Yes,28.0,PayPal,Monthly,71
1162,63.0,male,Shorts,Clothing,52,Oklahoma,S,Orange,Fall,3.1,No,2-Day Shipping,Yes,Yes,37.0,PayPal,Monthly,52
230,44.0,male,Sandals,Footwear,28,Ohio,S,Silver,Spring,4.6,Yes,Next Day Air,Yes,Yes,27.0,PayPal,Every 3 Months,28
1139,18.0,male,Pants,Clothing,36,Iowa,M,Purple,Summer,4.7,No,Express,Yes,Yes,32.0,Venmo,Fortnightly,36
1475,31.0,male,Sweater,Clothing,72,New Jersey,S,Pink,Fall,3.9,No,Next Day Air,Yes,Yes,6.0,Credit Card,Monthly,72
1023,61.0,male,Handbag,Accessories,41,Nebraska,M,Lavender,Winter,4.9,Yes,Store Pickup,Yes,Yes,7.0,Cash,Annually,41
1584,37.0,female,Scarf,Accessories,92,Maryland,XL,Yellow,Summer,4.3,No,Next Day Air,Yes,Yes,8.0,Venmo,Annually,92
3632,48.0,female,Hat,Accessories,50,New Jersey,M,Peach,Fall,2.9,No,Store Pickup,No,No,26.0,Credit Card,Monthly,50
3571,23.0,female,Dress,Clothing,97,Louisiana,XL,Teal,Winter,4.7,No,Standard,No,No,32.0,Debit Card,Annually,97
2937,31.0,female,Skirt,Clothing,34,Washington,M,White,Spring,3.6,No,Express,No,No,46.0,PayPal,Weekly,34
545,34.0,male,Sandals,Footwear,64,Washington,S,Yellow,Summer,3.3,Yes,Standard,Yes,Yes,30.0,Bank Transfer,Every 3 Months,64
9,44.0,male,Coat,Outerwear,97,West Virginia,L,Silver,Summer,2.6,Yes,Express,Yes,Yes,8.0,Venmo,Annually,97
3869,18.0,female,Dress,Clothing,29,Maryland,XL,Magenta,Winter,3.3,No,2-Day Shipping,No,No,9.0,Cash,Annually,29
1190,64.0,male,Shirt,Clothing,97,Arkansas,XL,Teal,Summer,3.8,No,Free Shipping,Yes,Yes,28.0,Debit Card,Annually,97
491,57.0,male,Sneakers,Footwear,42,Colorado,M,Silver,Winter,4.2,Yes,2-Day Shipping,Yes,Yes,47.0,Cash,Monthly,42
2190,38.0,male,Blouse,Clothing,94,Wisconsin,XL,Brown,Fall,4.0,No,Express,No,No,47.0,Credit Card,Bi-Weekly,94
1923,18.0,male,Gloves,Accessories,63,Kentucky,S,Peach,Summer,4.6,No,Standard,No,No,9.0,PayPal,Monthly,63
1718,44.0,male,Hoodie,Clothing,50,Hawaii,L,Orange,Summer,2.9,No,Express,No,No,16.0,Debit Card,Bi-Weekly,50
15,44.0,male,Coat,Outerwear,53,New York,L,Teal,Winter,4.7,Yes,Free Shipping,Yes,Yes,34.0,Debit Card,Weekly,53
3745,24.0,female,Hoodie,Clothing,51,New Jersey,M,Olive,Summer,2.7,No,Next Day Air,No,No,26.0,Bank Transfer,Fortnightly,51
3417,25.0,female,Sandals,Footwear,53,Alabama,M,Purple,Spring,3.2,No,Store Pickup,No,No,11.0,Bank Transfer,Every 3 Months,53
1002,44.0,male,Dress,Clothing,60,Washington,M,Orange,Fall,3.6,Yes,Standard,Yes,Yes,4.0,Debit Card,Fortnightly,60
595,35.0,male,Hoodie,Clothing,83,Oklahoma,S,Brown,Winter,2.5,Yes,Next Day Air,Yes,Yes,6.0,Debit Card,Monthly,83
1229,55.0,male,Jacket,Outerwear,55,Indiana,S,Yellow,Winter,3.9,No,Express,Yes,Yes,1.0,Cash,Annually,55
3679,56.0,female,Shirt,Clothing,45,Texas,S,Beige,Fall,3.5,No,Standard,No,No,29.0,Bank Transfer,Fortnightly,45
2383,39.0,male,Sweater,Clothing,60,California,M,Turquoise,Spring,3.9,No,Express,No,No,44.0,Debit Card,Weekly,60
2848,68.0,female,Jewelry,Accessories,21,Connecticut,L,Charcoal,Winter,2.8,No,Free Shipping,No,No,3.0,PayPal,Every 3 Months,21
3189,42.0,female,Blouse,Clothing,59,Vermont,M,Lavender,Winter,3.5,No,Standard,No,No,39.0,Bank Transfer,Monthly,59
3705,68.0,female,Sunglasses,Accessories,61,Missouri,L,Black,Winter,4.0,No,Store Pickup,No,No,36.0,Credit Card,Quarterly,61
150,44.0,male,Pants,Clothing,76,new york,M,White,Summer,3.2,Yes,Free Shipping,Yes,Yes,14.0,PayPal,Monthly,76
2750,64.0,female,Jacket,Outerwear,53,Vermont,M,Cyan,Spring,3.4,No,Standard,No,No,15.0,Bank Transfer,Annually,53
1164,26.0,male,Pants,Clothing,56,Tennessee,L,White,Summer,3.0,No,2-Day Shipping,Yes,Yes,24.0,PayPal,Monthly,56
2003,31.0,male,Shirt,Clothing,65,New York,M,Red,Summer,2.7,No,Express,No,No,19.0,PayPal,Every 3 Months,65
811,44.0,male,Scarf,Accessories,83,South Dakota,S,Lavender,Fall,4.9,Yes,Store Pickup,Yes,Yes,32.0,Debit Card,Bi-Weekly,83
804,32.0,male,Shorts,Clothing,38,Connecticut,L,Silver,Winter,2.8,Yes,Express,Yes,Yes,30.0,Venmo,Every 3 Months,38
1000,50.0,male,Socks,Clothing,28,New Mexico,L,Brown,Spring,2.9,Yes,Standard,Yes,Yes,23.0,Debit Card,Monthly,28
1903,31.0,male,Sandals,Footwear,22,New Mexico,S,Olive,Spring,5.0,No,Store Pickup,No,No,21.0,Venmo,Monthly,22
3456,49.0,male,T-shirt,Clothing,89,Ohio,M,Orange,Fall,4.7,No,Standard,No,No,13.0,Venmo,Annually,89
180,64.0,male,Boots,Footwear,31,Illinois,M,Violet,Fall,4.9,Yes,Store Pickup,Yes,Yes,9.0,Bank Transfer,Fortnightly,31
2023,59.0,male,Jewelry,Accessories,38,Alabama,S,Black,Winter,4.0,No,Store Pickup,No,No,16.0,Cash,Bi-Weekly,38
33,44.0,male,Jacket,Outerwear,67,Kansas,M,Silver,Summer,4.9,Yes,Free Shipping,Yes,Yes,37.0,Venmo,Annually,67
1736,58.0,male,Dress,Clothing,34,Texas,M,Purple,Winter,3.6,No,Express,No,No,31.0,Venmo,Annually,34
658,48.0,male,Jacket,Outerwear,80,Arizona,M,White,Winter,4.3,Yes,Free Shipping,Yes,Yes,6.0,PayPal,Quarterly,80
2943,54.0,female,Socks,Clothing,63,Hawaii,M,Brown,Summer,2.6,No,Free Shipping,No,No,37.0,Bank Transfer,Weekly,63
765,55.0,male,Skirt,Clothing,39,Virginia,XL,Silver,Fall,4.2,Yes,Free Shipping,Yes,Yes,6.0,Debit Card,Quarterly,39
3487,51.0,female,Shorts,Clothing,89,North Carolina,L,Charcoal,Winter,4.9,No,Standard,No,No,6.0,PayPal,Weekly,89
1092,44.0,male,Sweater,Clothing,80,North Carolina,L,Lavender,Spring,4.7,No,Store Pickup,Yes,Yes,6.0,Credit Card,Fortnightly,80
1109,27.0,male,Shorts,Clothing,25,Nebraska,M,Teal,Fall,2.8,No,Standard,Yes,Yes,50.0,Cash,Fortnightly,25
2571,36.0,male,Sneakers,Footwear,27,New Mexico,XL,Olive,Spring,4.0,No,Store Pickup,No,No,12.0,PayPal,Fortnightly,27
2242,18.0,male,Jacket,Outerwear,77,new york,M,Purple,Summer,3.5,No,Free Shipping,No,No,3.0,PayPal,Bi-Weekly,77
843,59.0,male,Shirt,Clothing,87,Missouri,M,Violet,Spring,3.6,Yes,Express,Yes,Yes,25.0,PayPal,Weekly,87
3132,34.0,male,Jacket,Outerwear,59,North Dakota,M,Peach,Fall,2.9,No,Store Pickup,No,No,11.0,Bank Transfer,Every 3 Months,59
3388,53.0,female,Pants,Clothing,78,New Jersey,S,Pink,Spring,3.4,No,2-Day Shipping,No,No,2.0,Credit Card,Bi-Weekly,78
1018,21.0,male,Jacket,Outerwear,53,Oklahoma,L,Orange,Fall,2.5,Yes,Express,Yes,Yes,14.0,Credit Card,Annually,53
3746,60.0,female,Socks,Clothing,41,Washington,L,Gold,Spring,4.3,No,Express,No,No,2.0,Debit Card,Monthly,41
2197,25.0,male,Dress,Clothing,58,Vermont,M,Gray,Spring,4.8,No,Next Day Air,No,No,31.0,PayPal,Weekly,58
3047,60.0,female,Shoes,Footwear,49,Pennsylvania,M,White,Spring,3.2,No,Store Pickup,No,No,25.0,Cash,Every 3 Months,49
3493,48.0,female,Gloves,Accessories,65,new york,M,Turquoise,Fall,4.6,No,Standard,No,No,48.0,Bank Transfer,Annually,65
599,21.0,male,Dress,Clothing,66,California,L,Green,Winter,3.2,Yes,2-Day Shipping,Yes,Yes,30.0,Cash,Every 3 Months,66
2427,70.0,male,Jacket,Outerwear,42,Florida,M,Olive,Fall,4.6,No,Free Shipping,No,No,26.0,Debit Card,Every 3 Months,42
2124,54.0,male,Coat,Outerwear,71,Nebraska,L,Cyan,Spring,3.7,No,Express,No,No,22.0,Debit Card,Bi-Weekly,71
1729,23.0,male,Jeans,Clothing,48,Wyoming,L,Black,Fall,4.3,No,Express,No,No,1.0,Debit Card,Every 3 Months,48
3104,27.0,female,Shirt,Clothing,37,Illinois,S,Peach,Winter,3.0,No,2-Day Shipping,No,No,42.0,Bank Transfer,Weekly,37
2367,30.0,male,Shoes,Footwear,66,New Mexico,L,Brown,Winter,3.6,No,Express,No,No,32.0,Credit Card,Fortnightly,66
2911,32.0,female,Belt,Accessories,32,Mississippi,M,Blue,Summer,2.9,No,Store Pickup,No,No,41.0,Credit Card,Monthly,32
1042,44.0,male,Shirt,Clothing,25,Minnesota,M,Orange,Summer,4.9,Yes,Next Day Air,Yes,Yes,11.0,Cash,Fortnightly,25
1357,44.0,male,Jacket,Outerwear,61,Indiana,M,Cyan,Spring,4.0,No,Free Shipping,Yes,Yes,34.0,Bank Transfer,Annually,61
322,44.0,male,Sneakers,Footwear,36,new york,L,Orange,Summer,4.7,Yes,Free Shipping,Yes,Yes,48.0,PayPal,Quarterly,36
2856,44.0,female,Boots,Footwear,95,Mississippi,S,Maroon,Winter,3.8,No,2-Day Shipping,No,No,33.0,PayPal,Quarterly,95
1868,45.0,male,Skirt,Clothing,52,Delaware,M,Brown,Fall,3.4,No,2-Day Shipping,No,No,20.0,Venmo,Quarterly,52
3137,58.0,female,Skirt,Clothing,32,new york,M,Gray,Fall,3.1,No,Next Day Air,No,No,29.0,Cash,Bi-Weekly,32
916,31.0,male,Dress,Clothing,22,Rhode Island,L,Purple,Winter,2.9,Yes,Store Pickup,Yes,Yes,33.0,Credit Card,Fortnightly,22
1746,40.0,male,Skirt,Clothing,27,West Virginia,L,Red,Winter,3.6,No,Store Pickup,No,No,27.0,Cash,Weekly,27
2148,47.0,female,Skirt,Clothing,43,Missouri,S,Charcoal,Fall,4.8,No,Standard,No,No,4.0,Cash,Fortnightly,43
3531,62.0,female,Sunglasses,Accessories,45,Oklahoma,L,Black,Spring,3.4,No,Express,No,No,37.0,PayPal,Weekly,45
1553,54.0,male,Blouse,Clothing,49,New Mexico,L,Purple,Spring,3.0,No,Express,Yes,Yes,20.0,Credit Card,Monthly,49
3448,62.0,male,Sandals,Footwear,58,Arkansas,M,Blue,Fall,4.3,No,Express,No,No,3.0,Bank Transfer,Bi-Weekly,58
3767,62.0,female,Handbag,Accessories,59,Texas,M,Black,Fall,4.9,No,Next Day Air,No,No,43.0,Debit Card,Annually,59
1741,69.0,male,Pants,Clothing,21,Wisconsin,L,Charcoal,Fall,3.3,No,Next Day Air,No,No,10.0,Bank Transfer,Every 3 Months,21
3655,21.0,female,Jewelry,Accessories,98,Arkansas,M,Green,Winter,3.3,No,Next Day Air,No,No,10.0,Credit Card,Annually,98
2104,30.0,male,Pants,Clothing,86,Indiana,S,Red,Summer,3.7,No,Store Pickup,No,No,21.0,Venmo,Weekly,86
1732,21.0,male,Backpack,Accessories,87,Idaho,M,Gray,Fall,3.1,No,Next Day Air,No,No,12.0,Cash,Monthly,87
1069,55.0,male,Shirt,Clothing,94,Wyoming,M,Olive,Fall,2.5,No,Standard,Yes,Yes,47.0,Credit Card,Weekly,94
2418,21.0,male,Backpack,Accessories,24,new york,M,Olive,Fall,3.3,No,Standard,No,No,32.0,Venmo,Fortnightly,24
2329,45.0,male,Pants,Clothing,36,North Dakota,M,Maroon,Fall,2.6,No,Express,No,No,29.0,Venmo,Bi-Weekly,36
2410,26.0,male,Jewelry,Accessories,37,Washington,L,Yellow,Spring,3.0,No,Store Pickup,No,No,47.0,Cash,Every 3 Months,37
2655,23.0,female,Coat,Outerwear,70,Idaho,S,Pink,Fall,4.1,No,Next Day Air,No,No,4.0,PayPal,Annually,70
2178,24.0,male,Gloves,Accessories,93,Montana,XL,Green,Winter,3.0,No,Express,No,No,9.0,PayPal,Bi-Weekly,93
1994,32.0,male,Blouse,Clothing,96,Arkansas,S,Purple,Spring,5.0,No,Express,No,No,17.0,Cash,Weekly,96
167,46.0,male,Sneakers,Footwear,31,Delaware,XL,Indigo,Fall,4.0,Yes,Store Pickup,Yes,Yes,30.0,Cash,Monthly,31
986,32.0,male,Handbag,Accessories,80,West Virginia,M,Gray,Fall,5.0,Yes,Express,Yes,Yes,12.0,Bank Transfer,Annually,80
316,66.0,male,Jewelry,Accessories,24,Wisconsin,XL,Orange,Spring,4.5,Yes,Express,Yes,Yes,24.0,Debit Card,Annually,24
1223,58.0,male,Jeans,Clothing,69,Indiana,L,Magenta,Fall,3.4,No,Store Pickup,Yes,Yes,27.0,Bank Transfer,Annually,69
1624,44.0,male,Backpack,Accessories,58,Indiana,M,Cyan,Summer,3.5,No,Next Day Air,Yes,Yes,50.0,Debit Card,Annually,58
2355,56.0,male,Blouse,Clothing,78,Wisconsin,M,Blue,Summer,4.8,No,Next Day Air,No,No,27.0,Venmo,Monthly,78
2081,29.0,male,Sunglasses,Accessories,47,South Dakota,S,Gray,Fall,3.5,No,Free Shipping,No,No,17.0,Debit Card,Bi-Weekly,47
3214,27.0,female,Sunglasses,Accessories,56,Texas,M,Brown,Winter,3.3,No,Standard,No,No,33.0,Credit Card,Monthly,56
2046,31.0,male,Jewelry,Accessories,20,Georgia,M,Red,Fall,4.4,No,Express,No,No,26.0,PayPal,Quarterly,20
2885,55.0,female,Boots,Footwear,50,Arkansas,M,Purple,Summer,3.4,No,2-Day Shipping,No,No,47.0,Credit Card,Every 3 Months,50
933,62.0,male,Skirt,Clothing,24,Indiana,L,Blue,Winter,3.2,Yes,Standard,Yes,Yes,45.0,Debit Card,Bi-Weekly,24
1498,69.0,male,Jacket,Outerwear,33,Michigan,S,Magenta,Spring,3.8,No,2-Day Shipping,Yes,Yes,16.0,Debit Card,Every 3 Months,33
2416,21.0,male,Coat,Outerwear,34,Hawaii,XL,Lavender,Fall,4.3,No,Standard,No,No,30.0,Bank Transfer,Weekly,34
2630,61.0,male,Scarf,Accessories,44,New Hampshire,M,Peach,Winter,3.8,No,Free Shipping,No,No,25.0,Venmo,Annually,44
1615,30.0,male,T-shirt,Clothing,41,Kansas,S,Gray,Summer,3.4,No,Free Shipping,Yes,Yes,22.0,Cash,Bi-Weekly,41
2326,44.0,male,Boots,Footwear,55,new york,M,Charcoal,Summer,4.4,No,2-Day Shipping,No,No,47.0,Cash,Weekly,55
2376,60.0,male,Backpack,Accessories,63,Virginia,L,Peach,Fall,2.9,No,Next Day Air,No,No,18.0,Credit Card,Quarterly,63
2801,44.0,female,Shirt,Clothing,76,Arkansas,L,Violet,Fall,3.4,No,Free Shipping,No,No,14.0,Cash,Bi-Weekly,76
1097,44.0,male,Coat,Outerwear,46,New Hampshire,S,Beige,Fall,2.6,No,Standard,Yes,Yes,48.0,Credit Card,Annually,46
3787,31.0,female,Boots,Footwear,47,Tennessee,L,Yellow,Fall,3.6,No,2-Day Shipping,No,No,22.0,Venmo,Weekly,47
1430,24.0,male,Skirt,Clothing,38,Maryland,L,Gold,Fall,4.7,No,Standard,Yes,Yes,6.0,Credit Card,Every 3 Months,38
299,69.0,male,T-shirt,Clothing,53,Maryland,M,Lavender,Winter,4.0,Yes,Standard,Yes,Yes,11.0,Venmo,Every 3 Months,53
3519,50.0,female,Shirt,Clothing,97,Colorado,M,Black,Spring,4.2,No,Standard,No,No,30.0,PayPal,Quarterly,97
2489,56.0,male,Handbag,Accessories,82,New Hampshire,XL,Charcoal,Summer,4.4,No,Express,No,No,30.0,PayPal,Monthly,82
271,33.0,male,Jeans,Clothing,52,North Dakota,XL,Orange,Fall,4.6,Yes,Free Shipping,Yes,Yes,16.0,Bank Transfer,Annually,52
3721,21.0,female,Hat,Accessories,56,South Carolina,M,Peach,Fall,3.6,No,Free Shipping,No,No,13.0,Credit Card,Quarterly,56
2184,44.0,male,Shorts,Clothing,37,Kansas,M,Maroon,Spring,4.7,No,Store Pickup,No,No,2.0,Cash,Monthly,37
2695,66.0,female,Sunglasses,Accessories,27,Louisiana,M,Olive,Spring,4.9,No,Express,No,No,34.0,Credit Card,Every 3 Months,27
2501,59.0,male,Gloves,Accessories,84,Massachusetts,M,Violet,Fall,2.9,No,Store Pickup,No,No,32.0,Cash,Bi-Weekly,84
3495,62.0,female,Scarf,Accessories,38,Washington,M,Silver,Winter,3.5,No,Free Shipping,No,No,41.0,PayPal,Quarterly,38
212,69.0,male,Skirt,Clothing,92,South Dakota,L,Maroon,Fall,4.2,Yes,2-Day Shipping,Yes,Yes,45.0,Debit Card,Fortnightly,92
367,44.0,male,Socks,Clothing,36,Nebraska,M,Turquoise,Spring,3.5,Yes,Store Pickup,Yes,Yes,37.0,Venmo,Fortnightly,36
3058,67.0,male,Backpack,Accessories,22,North Carolina,M,Blue,Spring,3.4,No,Next Day Air,No,No,26.0,Bank Transfer,Weekly,22
1539,56.0,male,Dress,Clothing,65,Illinois,L,Charcoal,Fall,3.2,No,Standard,Yes,Yes,22.0,Venmo,Bi-Weekly,65
2574,54.0,male,T-shirt,Clothing,90,New Mexico,M,Olive,Summer,4.4,No,Store Pickup,No,No,1.0,Bank Transfer,Annually,90
2988,63.0,female,Skirt,Clothing,36,new york,L,Black,Winter,2.5,No,Store Pickup,No,No,42.0,Cash,Monthly,36
539,27.0,male,Socks,Clothing,22,Virginia,XL,Green,Spring,3.2,Yes,Free Shipping,Yes,Yes,43.0,Cash,Weekly,22
3014,41.0,female,Skirt,Clothing,55,Arizona,L,Peach,Summer,4.2,No,Store Pickup,No,No,13.0,Cash,Monthly,55
556,63.0,male,Gloves,Accessories,57,Maine,M,White,Fall,4.8,Yes,Express,Yes,Yes,37.0,Venmo,Annually,57
1172,41.0,male,Socks,Clothing,55,Louisiana,M,Lavender,Spring,3.9,No,Next Day Air,Yes,Yes,15.0,Debit Card,Annually,55
1660,44.0,male,Gloves,Accessories,37,Utah,M,Olive,Fall,3.9,No,Next Day Air,Yes,Yes,44.0,PayPal,Annually,37
464,37.0,male,Jewelry,Accessories,81,Georgia,S,Orange,Summer,2.7,Yes,Standard,Yes,Yes,29.0,Venmo,Weekly,81
3598,29.0,female,Sunglasses,Accessories,71,New Mexico,M,Maroon,Summer,3.1,No,Standard,No,No,18.0,Bank Transfer,Quarterly,71
1345,56.0,male,T-shirt,Clothing,37,New York,S,Violet,Fall,4.9,No,Next Day Air,Yes,Yes,14.0,Cash,Annually,37
2322,50.0,male,Sandals,Footwear,31,Colorado,M,Olive,Winter,3.0,No,Next Day Air,No,No,27.0,Debit Card,Fortnightly,31
436,51.0,male,Coat,Outerwear,28,Montana,XL,Olive,Winter,3.6,Yes,Next Day Air,Yes,Yes,42.0,Bank Transfer,Monthly,28
1447,63.0,male,Jeans,Clothing,35,Wyoming,XL,Red,Summer,3.2,No,Express,Yes,Yes,6.0,Credit Card,Quarterly,35
1959,39.0,male,Shorts,Clothing,67,Nevada,M,Gray,Winter,2.7,No,Store Pickup,No,No,47.0,Cash,Quarterly,67
991,48.0,male,Sunglasses,Accessories,63,Washington,S,Yellow,Spring,4.8,Yes,Store Pickup,Yes,Yes,24.0,Cash,Weekly,63
94,37.0,male,Sweater,Clothing,62,Florida,M,Purple,Fall,4.5,Yes,Standard,Yes,Yes,46.0,PayPal,Weekly,62
3321,66.0,female,Blouse,Clothing,44,Illinois,XL,Silver,Fall,4.2,No,2-Day Shipping,No,No,45.0,Cash,Every 3 Months,44
1597,42.0,male,Jewelry,Accessories,30,Mississippi,S,Pink,Fall,4.7,No,Store Pickup,Yes,Yes,15.0,Debit Card,Monthly,30
415,29.0,male,Backpack,Accessories,88,Wyoming,L,Violet,Winter,2.6,Yes,Store Pickup,Yes,Yes,30.0,Debit Card,Weekly,88
2354,56.0,male,Handbag,Accessories,71,Montana,M,White,Fall,4.1,No,Standard,No,No,25.0,Debit Card,Every 3 Months,71
2093,42.0,male,Sandals,Footwear,45,Minnesota,M,Silver,Fall,2.6,No,Next Day Air,No,No,27.0,Bank Transfer,Weekly,45
24,31.0,male,Pants,Clothing,88,Oklahoma,XL,White,Winter,4.4,Yes,Express,Yes,Yes,40.0,Credit Card,Weekly,88
197,44.0,male,Boots,Footwear,88,Washington,M,Lavender,Summer,3.9,Yes,Next Day Air,Yes,Yes,41.0,Credit Card,Fortnightly,88
569,44.0,male,Pants,Clothing,88,Utah,L,Red,Summer,4.0,Yes,Free Shipping,Yes,Yes,36.0,PayPal,Monthly,88
1193,49.0,male,Coat,Outerwear,56,Florida,M,Turquoise,Summer,4.0,No,2-Day Shipping,Yes,Yes,42.0,Venmo,Quarterly,56
677,28.0,male,Pants,Clothing,60,Connecticut,M,Peach,Winter,2.9,Yes,2-Day Shipping,Yes,Yes,38.0,Venmo,Bi-Weekly,60
